Row,Account_Type_1,Account_Number_1,Account_Type_2,Account_Number_2,Routing_Type,Routing_Number,Notes
1,Account,586320484095,Account,458385015647,Routing,061000146,ABA number
2,Deposit Account,562098586021,Deposit Account,310012015157,Bank Routing,031100209,aba numbers
3,Account,092814867572,Account,385742831546,Routing,063103915,bank acct. no.
4,Deposit Account,162890726002,Deposit Account,901001856353,Bank Routing,011401533,bank acct. no
5,Account,340913548601,Account,599287434539,Routing,071000013,USA
6,Deposit Account,610985742032,Deposit Account,708000093468,Bank Routing,053000219,
7,Account,598761035902,Account,450148392914,Routing,021200025,
8,Deposit Account,951208363010,Deposit Account,810001816445,Bank Routing,074000010,
9,Account,789067432101,Account,730846851190,Routing,061212340,
10,Deposit Account,831207734350,Deposit Account,409012924477,Bank Routing,011500120,
11,Account,062515582001,Account,845678439274,Routing,063113057,
12,Deposit Account,821450236711,Deposit Account,608009466378,Bank Routing,102101645,
13,Account,385765901625,Account,710012849933,Routing,021000089,
14,Deposit Account,471201360915,Deposit Account,942345017062,Bank Routing,021200339,
15,Account,328501920360,Account,453280018756,Routing,322270356,
16,Deposit Account,965204615003,Deposit Account,409029485640,Bank Routing,021000021,
17,Account,057615832409,Account,568343059947,Routing,081300948,
18,Deposit Account,935720181236,Deposit Account,810000935653,Bank Routing,123006800,
19,Account,503479016255,Account,870014635878,Routing,065000090,
20,Deposit Account,541039752105,Deposit Account,608001245345,Bank Routing,011201759,
21,Account,812961730532,Account,831975309278,Routing,111901738,
22,Deposit Account,663729805162,Deposit Account,901001452561,Bank Routing,031101279,
23,Account,732147589026,Account,942385016504,Routing,123006800,
24,Deposit Account,621057819230,Deposit Account,607001003339,Bank Routing,026009593,
25,Account,847109853045,Account,715193437759,Routing,114901322,
26,Deposit Account,469083736104,Deposit Account,901000093458,Bank Routing,021101108,
27,Account,708903615283,Account,450013846589,Routing,101089292,
28,Deposit Account,801234709585,Deposit Account,506010028899,Bank Routing,122000661,
29,Account,936257891543,Account,530918473896,Routing,071101307,
30,Deposit Account,073692189552,Deposit Account,810001027812,Bank Routing,073900990,
31,Account,051367894325,Account,870415938349,Routing,051000017,
32,Deposit Account,986473016215,Deposit Account,542001243582,Bank Routing,064103833,
33,Account,897123047601,Account,310019475834,Routing,031100089,
34,Deposit Account,945382018905,Deposit Account,810000739343,Bank Routing,083900363,
35,Account,143905860135,Account,860014634058,Routing,091300719,
36,Deposit Account,938501245090,Deposit Account,902346185638,Bank Routing,111000038,
37,Account,230958610934,Account,950658439712,Routing,053902197,
38,Deposit Account,235018765382,Deposit Account,508000019343,Bank Routing,031000503,
39,Account,463890716352,Account,530928473068,Routing,122105155,
40,Deposit Account,971502546890,Deposit Account,810001238429,Bank Routing,067014822,
41,Account,692035184739,Account,771920348561,Routing,111901728,
42,Deposit Account,584917306201,Deposit Account,406010925678,Bank Routing,121000248,
43,Account,728093461025,Account,956485163946,Routing,102001017,
44,Deposit Account,019630517824,Deposit Account,310097533901,Bank Routing,053101691,
45,Account,245871305129,Account,450132968175,Routing,325070760,
46,Deposit Account,832051636901,Deposit Account,901001058797,Bank Routing,021001208,
47,Account,136509754812,Account,801635418789,Routing,064208165,
48,Deposit Account,224781029301,Deposit Account,608001123466,Bank Routing,044000037,
49,Account,982340168703,Account,810193468017,Routing,021911979,
50,Deposit Account,980170264015,Deposit Account,810007394532,Bank Routing,021202337,

